angle/°	t/ms	timer1/ms	timer2/ms	Date	DateOA	Counter1	Counter2	Counter3	Counter4	dt/ms	dtimer1/ms	dtimer2/ms	dCounter1	dCounter2	dCounter3	dCounter4	Ticks1	Ticks2	Ticks3	Ticks4	dTicks1	dTicks2	dTicks3	dTicks4
90	719996.2564	0	719985	2026-03-09_15:18:37	46090.6379282407	1248219	1564993	4035	5095	1	20	20	1117.2372174252	1250.99680255387	63.521649852629	71.3792686989717	1733.67361820038	2173.64667319458	5.6042834225713	7.07653631672882	1.55249780728074	1.73858056858566	0.0882264890819227	0.0991401334920991
105	719996.21215	0	719985	2026-03-09_15:30:49	46090.646400463	1251615	1565093	3971	5116	1	20	20	1118.75600557047	1251.03677004315	63.0158710167526	71.5262189689907	1738.39038313298	2173.78556497705	5.51539268179198	7.10570359104704	1.55461032980364	1.73863618065078	0.0875240005866472	0.0993442365475841
120	719995.63275	0	719984	2026-03-09_15:43:01	46090.6548726852	1257054	1557252	4022	5176	1	20	20	1121.18419539342	1247.89903437738	63.4192399828317	71.9444229944198	1745.94713215849	2162.89806440143	5.58623524967221	7.18904864552546	1.55798994637043	1.73427266431009	0.0880843718674404	0.0999252298210197
135	719996.87965	0	719986	2026-03-09_15:55:13	46090.6633449074	1255613	1549121	4076	5298	1	20	20	1120.54138700898	1244.63689484122	63.8435587980495	72.7873615403114	1743.9408544055	2151.59878108741	5.66122119041204	7.35847641481918	1.55709150981206	1.7297288623631	0.0886734730923124	0.101095730086369
150	719996.0669	0	719985	2026-03-09_16:07:25	46090.6718171296	1247464	1545358	4408	5581	1	20	20	1116.89927925485	1243.12428984394	66.3927706907913	74.706090782479	1732.62498524275	2146.37527170705	6.12234977117579	7.7515503795218	1.55202776128547	1.72762662311984	0.0922142594694242	0.103760844522375
165	719996.2441	0	719985	2026-03-09_16:19:37	46090.6802893519	1241672	1540126	4326	5578	1	20	20	1114.3033698235	1241.01813040745	65.7723346096214	74.6860093993514	1724.58037320222	2139.10845364834	6.00845850955228	7.74738362604776	1.54841706464058	1.72469611978185	0.0913525203815527	0.103732952951282
180	719996.21755	0	719985	2026-03-09_16:31:49	46090.6887615741	1233398	1533843	4265	5539	1	20	20	1110.58453077647	1238.48415411744	65.3069674690228	74.4244583453585	1713.08846712084	2130.3818829559	5.92373452224699	7.69321583088537	1.54324450722089	1.72117037690803	0.0907061604513988	0.103369677693142
195	719996.37435	0	719985	2026-03-09_16:44:02	46090.6972453704	1225671	1527378	4255	5513	1	20	20	1107.1002664619	1235.87135252825	65.2303610292017	74.2495791233863	1702.35629908956	2121.40252921936	5.90984534400022	7.65710396744377	1.53839826609879	1.71753498424719	0.0905997598770139	0.103126783271016
210	719996.39165	0	719986	2026-03-09_16:56:14	46090.7057175926	1219619	1520885	4005	5272	1	20	20	1104.36361765498	1233.24166325988	63.285069329187	72.6085394426854	1693.94821565975	2112.38135185962	5.56260816182537	7.32236460153392	1.53458977550127	1.7138737385971	0.0878977745638609	0.100847359713192
225	719996.52425	0	719986	2026-03-09_17:08:26	46090.7141898148	1210238	1516078	3890	5066	1	20	20	1100.10817649902	1231.29119220435	62.3698645180507	71.175838597097	1680.91879564325	2105.70483314953	5.40288283383288	7.03624792704303	1.5286710174979	1.71115993934071	0.0866266262462636	0.0988574468306192
240	719995.6692	0	719985	2026-03-09_17:20:38	46090.722662037	1202013	1506250	3746	4974	1	20	20	1096.36353459972	1227.29377086336	61.2045749923974	70.5265907300218	1669.49728119336	2092.05747341959	5.20288617123968	6.90847725994292	1.52346488483717	1.70560052256716	0.0850082480188522	0.0979558269613295
255	719996.1204	0	719986	2026-03-09_17:32:51	46090.7311458333	1194928	1498782	3630	4802	1	20	20	1093.12762292424	1224.24752399178	60.2494813255683	69.2964645562817	1659.65449328181	2081.68214381946	5.0417647009803	6.66957413060809	1.5189621256377	1.7013598156792	0.0836815795112096	0.0962471394463381
270	719996.2668	0	719987	2026-03-09_17:45:03	46090.7396180556	1192601	1497370	3617	4785	1	20	20	1092.06272713613	1223.67070733919	60.1414998150196	69.173694422085	1656.42018536446	2079.71810602136	5.02370181683836	6.6459533297129	1.51747892250405	1.70055491272149	0.0835314856272393	0.0960764876667246
270	719996.2609	0	719985	2026-03-09_17:57:07	46090.7479976852	1190130	1505412	3598	4859	1	20	20	1090.93079523863	1226.95232181206	59.9833310178753	69.7065276713738	1652.99277068272	2090.89356028251	4.9973263331875	6.74875171010507	1.51590881419337	1.70512545171697	0.0833120332856733	0.0968168202803428
255	719996.03025	0	719985	2026-03-09_18:09:20	46090.7564814815	1194397	1501711	3634	4753	1	20	20	1092.88471487161	1225.44318513752	60.2826674924061	68.9420046125727	1658.91928304062	2085.75317541338	5.04732737487587	6.60152642068932	1.51862639163215	1.70302573885563	0.0837277887907949	0.0957549546698856
240	719995.6926	0	719985	2026-03-09_18:21:32	46090.7649537037	1204242	1492699	3703	4940	1	20	20	1097.37960615277	1221.76061485055	60.8522801544856	70.2851335632223	1672.59317902456	2073.23624797739	5.14316270477857	6.8612540539039	1.52487808921402	1.69790209195746	0.0845189373295673	0.0976204608743181
225	719995.96495	0	719986	2026-03-09_18:33:45	46090.7734375	1209700	1493745	3792	5059	1	20	20	1099.8636279103	1222.18861064895	61.5792172733626	71.1266476083331	1680.17155889142	2074.68617445339	5.26676907606537	7.02652551577392	1.52833088457676	1.69849520808395	0.0855284788383585	0.0987891242840655
210	719995.5337	0	719985	2026-03-09_18:45:57	46090.7819097222	1215997	1495520	3952	5284	1	20	20	1102.72253989841	1222.91455138943	62.8649345820068	72.691127381545	1688.91990805364	2077.1543851608	5.48900324312312	7.33904178559276	1.53230937519647	1.69950758534788	0.0873143613207916	0.100962208343597
195	719995.4628	0	719985	2026-03-09_18:58:09	46090.7903819444	1226464	1493660	4161	5542	1	20	20	1107.45835136135	1222.15383647068	64.5058136914806	74.444610281739	1703.45771092453	2074.5709980069	5.77928706848059	7.6973825843594	1.53889632211975	1.6984491879313	0.0895934182635026	0.103397667256275
180	719996.08805	0	719985	2026-03-09_19:10:21	46090.7988541667	1235464	1490680	4173	5617	1	20	20	1111.51428240936	1220.934068654	64.5987615980368	74.9466476902069	1715.95797134663	2070.43202288937	5.79595408237672	7.80155142121016	1.54453770018208	1.696752106058	0.089722515890334	0.104094960464616
165	719997.0517	0	719986	2026-03-09_19:22:33	46090.8073263889	1241482	1485103	4263	5694	1	20	20	1114.21811150241	1218.64802137451	65.2916533716217	75.4585979196539	1724.31408388496	2062.68316328373	5.92094846288678	7.90848710947157	1.54829632521887	1.69356915382787	0.0906847643694739	0.104805876350779
150	719995.88995	0	719985	2026-03-09_19:34:45	46090.8157986111	1247782	1489316	4133	5422	1	20	20	1117.04162858866	1220.37535209459	64.2884126417817	73.6342311700204	1733.066661111	2068.53753897651	5.74039736938964	7.53071244539817	1.55222575820702	1.69597475699602	0.0892914646211161	0.10227211012161
