angle/°	t/ms	timer1/ms	timer2/ms	Date	DateOA	Counter1	Counter2	Counter3	Counter4	dt/ms	dtimer1/ms	dtimer2/ms	dCounter1	dCounter2	dCounter3	dCounter4	Ticks1	Ticks2	Ticks3	Ticks4	dTicks1	dTicks2	dTicks3	dTicks4
90	119995.79115	0	119994	2026-03-09_14:18:30	46090.5961805556	207158	268481	26	30	1	20	20	455.146130380123	518.151522240358	5.09901951359278	5.47722557505166	1726.40298681601	2237.45353934363	0.216677500541694	0.250012500625031	3.80397291849237	4.33421889759741	0.0424939693242095	0.0456458477711948
105	119995.87385	0	119994	2026-03-09_14:20:42	46090.5977083333	208350	268299	12	13	1	20	20	456.453721641088	517.975868163759	3.46410161513775	3.60555127546399	1736.33681684084	2235.93679683984	0.100005000250013	0.108338750270847	3.81496417071244	4.33273871920149	0.0288689617193003	0.0300477684428501
120	119995.85965	0	119994	2026-03-09_14:22:54	46090.5992361111	209170	266619	17	20	1	20	20	457.351068655142	516.351624380131	4.12310562561766	4.47213595499958	1743.17049185793	2221.93609680484	0.141673750354184	0.166675000416688	3.82250733475428	4.31905227999781	0.0343609397072016	0.03726967346187
135	119996.62225	0	119995	2026-03-09_14:25:06	46090.6007638889	208634	265592	27	32	1	20	20	456.764709670088	515.356187505302	5.19615242270663	5.65685424949238	1738.68911204634	2213.35888995375	0.225009375390641	0.26667777824076	3.81754633202433	4.31062866313799	0.0433030907239953	0.0471424373003774
150	119996.2051	0	119994	2026-03-09_14:27:18	46090.6022916667	208392	266026	19	24	1	20	20	456.499726177355	515.777083632067	4.35889894354067	4.89897948556636	1736.68683434172	2216.99418304249	0.158341250395853	0.200010000500025	3.81535088199603	4.31421122647502	0.0363259837485254	0.0408268840002213
165	119995.57035	0	119994	2026-03-09_14:29:30	46090.6038194444	206585	265805	20	26	1	20	20	454.51622633301	515.562799278614	4.47213595499958	5.09901951359278	1721.62774805407	2215.15242428788	0.166675000416688	0.216677500541694	3.79867831053351	4.31240570661433	0.03726967346187	0.0424939693242095
180	119995.67965	0	119995	2026-03-09_14:31:42	46090.6053472222	205934	264603	19	23	1	20	20	453.799515204677	514.39576203542	4.35889894354067	4.79583152331272	1716.18817450727	2205.11687986999	0.158339930830451	0.191674653110546	3.79262241765996	4.30253663797901	0.0363256810192207	0.0399669407512137
195	119995.61055	0	119994	2026-03-09_14:33:54	46090.606875	205769	264598	16	22	1	20	20	453.61768043144	514.390901941315	4	4.69041575982343	1714.82740803707	2205.09358801273	0.13334000033335	0.183342500458356	3.79112587071272	4.3025318078548	0.0333350074918553	0.0390887643811285
210	119996.4424	0	119995	2026-03-09_14:36:06	46090.6084027778	203140	264696	17	28	1	20	20	450.710550131678	514.48615141712	4.12310562561766	5.29150262212918	1692.90387099462	2205.89191216301	0.141672569690404	0.233343055960665	3.76666108346507	4.30329819601211	0.0343606533539708	0.0440977097387962
225	119996.7495	0	119994	2026-03-09_14:38:18	46090.6099305556	201838	264994	10	17	1	20	20	449.263842302049	514.775679301188	3.16227766016838	4.12310562561766	1682.06743670517	2208.39375302098	0.0833375002083438	0.141673750354184	3.75453465493042	4.30577372119959	0.0263536351769047	0.0343609397072016
